"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Вводим прошедшую дату в поле Start Date и проверяем, что система не пускает дальше","0","Проверка блокировки поиска машины на вчерашний день","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","skipped","Mon Mar 30 16:38:46 UTC 2026","com.carbooking.gui.tests.BookingDateValidationTest","UI Chrome","com.carbooking.gui.tests.BookingDateValidationTest","testSearchOnPastDate"
"","525","testInvalidBooking","Final Regression Suite","Mon Mar 30 16:38:47 UTC 2026","passed","Mon Mar 30 16:38:47 UTC 2026","com.carbooking.gui.tests.negative.NegativeBookingTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeBookingTest","testInvalidBooking"
"","283","testInvalidSearch","Final Regression Suite","Mon Mar 30 16:39:23 UTC 2026","passed","Mon Mar 30 16:39:24 UTC 2026","com.carbooking.gui.tests.negative.NegativeSearchTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeSearchTest","testInvalidSearch"
"","273","Получение списка категорий автомобилей","Final Regression Suite","Mon Mar 30 16:38:45 UTC 2026","passed","Mon Mar 30 16:38:45 UTC 2026","com.carbooking.api.cars.GetCarCategoriesApiTest","API Suite","com.carbooking.api.cars.GetCarCategoriesApiTest","getCarCategories"
"","10038","bookingCarSuccessfully","Final Regression Suite","Mon Mar 30 16:39:26 UTC 2026","broken","Mon Mar 30 16:39:36 UTC 2026","com.carbooking.gui.tests.positive.BookingTest","UI Chrome","com.carbooking.gui.tests.positive.BookingTest","bookingCarSuccessfully"
"","317","Попытка логина с неверным паролем","Final Regression Suite","Mon Mar 30 16:38:43 UTC 2026","passed","Mon Mar 30 16:38:44 UTC 2026","com.carbooking.api.auth.LoginNegativeApiTest","API Suite","com.carbooking.api.auth.LoginNegativeApiTest","loginWithInvalidPassword"
"","255","Попытка создать бронь без токена авторизации","Final Regression Suite","Mon Mar 30 16:38:44 UTC 2026","passed","Mon Mar 30 16:38:44 UTC 2026","com.carbooking.api.bookings.CreateBookingNegativeApiTest","API Suite","com.carbooking.api.bookings.CreateBookingNegativeApiTest","createBookingWithoutTokenReturns401"
"","2356","firstTestExample","Final Regression Suite","Mon Mar 30 16:38:51 UTC 2026","passed","Mon Mar 30 16:38:54 UTC 2026","com.carbooking.gui.tests.all.FirstTest","UI Firefox","com.carbooking.gui.tests.all.FirstTest","firstTestExample"
"","10036","registrationWithEmptyFields","Final Regression Suite","Mon Mar 30 16:39:00 UTC 2026","broken","Mon Mar 30 16:39:11 UTC 2026","com.carbooking.gui.tests.negative.NegativeRegistrationTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeRegistrationTest","registrationWithEmptyFields"
"","634","openGoogle","Final Regression Suite","Mon Mar 30 16:39:24 UTC 2026","passed","Mon Mar 30 16:39:25 UTC 2026","com.carbooking.gui.tests.OpenGoogleTest","UI Chrome","com.carbooking.gui.tests.OpenGoogleTest","openGoogle"
"","350","Получение списка всех автомобилей","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","passed","Mon Mar 30 16:38:46 UTC 2026","com.carbooking.api.cars.GetCarsApiTest","API Suite","com.carbooking.api.cars.GetCarsApiTest","getAllCars"
"","12304","Успешный вход в систему с валидными данными","Final Regression Suite","Mon Mar 30 16:40:41 UTC 2026","broken","Mon Mar 30 16:40:53 UTC 2026","com.carbooking.gui.tests.positive.LoginTest","UI Firefox","com.carbooking.gui.tests.positive.LoginTest","loginWithValidCredentials"
